,PRE038
RAB29,0.39644933
SLC41A1,0.062375527
PM20D1,0.052476224
RHEX,0.030689195
FAM72A,0.001405296
SRGAP2,0.042965103
RASSF5,0.017368227
EIF2D,0.07187182
MAPKAPK2,0.13451761
IL10,0.0
IL20,0.0
FCMR,0.0050297934
PFKFB2,0.1851738
YOD1,0.033423763
CD55,0.07560137
CR1,0.0028658174
CD46,0.579321
MIR29B2CHG,0.09495223
CD34,0.16982469
PLXNA2,0.045454998
G0S2,0.4245502
TRAF3IP3,0.016840335
IRF6,0.031199891
UTP25,0.04157323
SERTAD4-AS1,0.033947054
HHAT,0.0122989705
RCOR3,0.124652766
TRAF5,0.038072508
LINC00467,0.075784475
SLC30A1,0.18510412
NEK2,0.0
LPGAT1,0.11910105
INTS7,0.0067042476
PPP2R5A,0.163823
PACC1,0.03159093
NENF,0.7146781
ENSG00000260805,0.0133869415
ATF3,0.04196123
BATF3,0.0023861092
NSL1,0.121726714
